,prediction,Truelabel
140,9.0,9.0
141,8.0,8.0
142,9.0,9.0
143,0.0,0.0
144,6.0,6.0
145,4.0,4.0
146,7.0,7.0
147,6.0,6.0
148,6.0,6.0
149,0.0,0.0
150,5.0,5.0
151,1.0,1.0
152,0.0,0.0
153,2.0,2.0
154,9.0,9.0
155,9.0,9.0
156,0.0,0.0
157,6.0,6.0
158,1.0,1.0
159,7.0,7.0
160,7.0,7.0
161,7.0,7.0
162,5.0,5.0
163,9.0,9.0
164,8.0,8.0
165,6.0,6.0
166,1.0,1.0
167,0.0,0.0
168,3.0,3.0
169,9.0,9.0
170,9.0,9.0
171,2.0,2.0
172,8.0,8.0
173,0.0,0.0
174,7.0,7.0
175,8.0,8.0
176,4.0,4.0
177,4.0,4.0
178,9.0,9.0
179,1.0,1.0
180,0.0,0.0
181,3.0,3.0
182,7.0,7.0
183,3.0,3.0
184,8.0,8.0
185,3.0,3.0
186,7.0,7.0
187,4.0,4.0
188,8.0,8.0
189,5.0,5.0
190,0.0,0.0
191,3.0,3.0
192,1.0,1.0
193,3.0,3.0
194,4.0,4.0
195,2.0,2.0
196,2.0,2.0
197,1.0,1.0
198,7.0,7.0
199,2.0,2.0
200,4.0,4.0
201,5.0,5.0
202,0.0,0.0
203,7.0,7.0
204,6.0,6.0
205,2.0,2.0
206,3.0,3.0
207,3.0,3.0
208,5.0,5.0
209,5.0,5.0
210,3.0,3.0
211,4.0,4.0
212,0.0,0.0
213,5.0,5.0
214,0.0,9.0
215,7.0,7.0
216,4.0,4.0
217,1.0,1.0
218,5.0,5.0
219,4.0,4.0
220,0.0,0.0
221,2.0,2.0
222,0.0,0.0
223,2.0,2.0
224,2.0,2.0
225,2.0,2.0
226,4.0,4.0
227,0.0,0.0
228,7.0,7.0
229,0.0,0.0
230,1.0,1.0
231,9.0,9.0
232,4.0,4.0
233,6.0,6.0
234,1.0,1.0
235,9.0,8.0
236,1.0,1.0
237,4.0,4.0
238,4.0,4.0
239,3.0,3.0
240,4.0,4.0
241,5.0,5.0
242,2.0,2.0
243,0.0,0.0
244,6.0,6.0
245,0.0,0.0
246,1.0,1.0
247,8.0,8.0
248,0.0,0.0
249,5.0,5.0
250,2.0,2.0
251,6.0,6.0
252,0.0,0.0
253,5.0,5.0
254,1.0,1.0
255,8.0,8.0
256,7.0,7.0
257,3.0,3.0
258,3.0,3.0
259,4.0,4.0
260,6.0,6.0
261,1.0,1.0
262,1.0,1.0
263,9.0,9.0
264,5.0,5.0
265,1.0,1.0
266,3.0,3.0
267,0.0,0.0
268,4.0,4.0
269,2.0,2.0
270,3.0,3.0
271,1.0,1.0
272,2.0,2.0
273,6.0,6.0
274,1.0,1.0
275,3.0,3.0
276,1.0,1.0
277,3.0,3.0
278,4.0,4.0
279,8.0,8.0
280,1.0,1.0
281,1.0,1.0
282,1.0,1.0
283,7.0,7.0
284,8.0,8.0
285,6.0,6.0
286,0.0,0.0
287,2.0,2.0
288,7.0,7.0
289,4.0,4.0
290,2.0,2.0
291,3.0,3.0
292,6.0,6.0
293,3.0,3.0
294,8.0,8.0
295,3.0,3.0
296,6.0,6.0
297,0.0,0.0
298,8.0,8.0
299,2.0,2.0
300,2.0,2.0
301,2.0,2.0
302,1.0,1.0
303,4.0,4.0
304,3.0,3.0
305,9.0,9.0
306,3.0,3.0
307,3.0,3.0
308,2.0,2.0
309,8.0,8.0
310,0.0,0.0
311,1.0,1.0
312,5.0,5.0
313,1.0,1.0
314,4.0,4.0
315,7.0,7.0
316,5.0,5.0
317,2.0,2.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,7.0,7.0
322,8.0,8.0
323,5.0,5.0
324,7.0,7.0
325,4.0,4.0
326,8.0,8.0
327,1.0,1.0
328,9.0,9.0
329,6.0,6.0
330,0.0,0.0
331,8.0,8.0
332,0.0,0.0
333,1.0,1.0
334,8.0,8.0
335,4.0,4.0
336,3.0,3.0
337,2.0,2.0
338,1.0,1.0
339,2.0,2.0
340,7.0,7.0
341,0.0,0.0
342,3.0,3.0
343,0.0,0.0
344,9.0,9.0
345,2.0,2.0
346,1.0,1.0
347,9.0,9.0
348,7.0,7.0
349,4.0,4.0
350,0.0,0.0
351,7.0,7.0
352,2.0,2.0
353,9.0,9.0
354,9.0,9.0
355,3.0,3.0
356,3.0,3.0
357,8.0,8.0
358,8.0,8.0
359,7.0,7.0
360,8.0,8.0
361,2.0,2.0
362,3.0,3.0
363,9.0,9.0
364,0.0,0.0
365,0.0,0.0
366,2.0,2.0
367,6.0,6.0
368,7.0,7.0
369,3.0,3.0
370,5.0,5.0
371,9.0,9.0
372,5.0,5.0
373,8.0,8.0
374,0.0,0.0
375,3.0,3.0
376,9.0,9.0
377,5.0,5.0
378,4.0,4.0
379,3.0,3.0
380,3.0,3.0
381,0.0,0.0
382,1.0,1.0
383,1.0,1.0
384,1.0,1.0
385,5.0,5.0
386,1.0,1.0
387,2.0,2.0
388,0.0,0.0
389,7.0,7.0
390,8.0,8.0
391,0.0,0.0
392,0.0,0.0
393,1.0,1.0
394,8.0,8.0
395,2.0,2.0
396,4.0,4.0
397,9.0,9.0
398,6.0,6.0
399,7.0,7.0
400,5.0,5.0
401,0.0,0.0
402,0.0,0.0
403,4.0,4.0
404,1.0,1.0
405,3.0,3.0
406,6.0,6.0
407,2.0,2.0
408,6.0,6.0
409,2.0,2.0
410,7.0,7.0
411,7.0,7.0
412,5.0,5.0
413,9.0,9.0
414,4.0,4.0
415,0.0,0.0
416,5.0,5.0
417,4.0,4.0
418,3.0,3.0
419,9.0,9.0
420,4.0,4.0
421,9.0,9.0
422,2.0,2.0
423,9.0,9.0
424,2.0,2.0
425,9.0,9.0
426,3.0,3.0
427,1.0,1.0
428,7.0,7.0
429,4.0,4.0
430,4.0,4.0
431,5.0,5.0
432,6.0,6.0
433,0.0,0.0
434,7.0,7.0
435,9.0,9.0
436,8.0,8.0
437,8.0,8.0
438,3.0,3.0
439,6.0,6.0
440,0.0,0.0
441,0.0,0.0
442,3.0,3.0
443,5.0,5.0
444,3.0,3.0
445,1.0,1.0
446,6.0,6.0
447,6.0,6.0
448,3.0,3.0
449,3.0,3.0
450,7.0,7.0
451,2.0,2.0
452,3.0,3.0
453,6.0,6.0
454,1.0,1.0
455,1.0,1.0
456,6.0,6.0
457,0.0,0.0
458,4.0,4.0
459,0.0,0.0
460,0.0,0.0
461,3.0,3.0
462,1.0,1.0
463,9.0,9.0
464,4.0,4.0
465,7.0,7.0
466,2.0,2.0
467,7.0,7.0
468,8.0,8.0
469,5.0,5.0
470,7.0,7.0
471,2.0,2.0
472,5.0,5.0
473,1.0,1.0
474,6.0,6.0
475,7.0,7.0
476,9.0,9.0
477,7.0,7.0
478,5.0,5.0
479,5.0,5.0
480,1.0,1.0
481,5.0,5.0
482,6.0,6.0
483,9.0,9.0
484,0.0,0.0
485,5.0,5.0
486,9.0,9.0
487,9.0,9.0
488,8.0,8.0
489,0.0,0.0
490,2.0,2.0
491,5.0,5.0
492,9.0,9.0
493,1.0,1.0
494,9.0,9.0
495,3.0,3.0
496,8.0,8.0
497,7.0,7.0
498,6.0,6.0
499,5.0,5.0
500,6.0,6.0
501,6.0,6.0
502,6.0,6.0
503,0.0,0.0
504,7.0,7.0
505,1.0,1.0
506,5.0,5.0
507,8.0,8.0
508,1.0,1.0
509,1.0,1.0
510,7.0,7.0
511,9.0,9.0
512,6.0,6.0
513,6.0,6.0
514,8.0,8.0
515,6.0,6.0
516,4.0,4.0
517,7.0,7.0
518,5.0,5.0
519,0.0,0.0
520,8.0,8.0
521,5.0,5.0
522,3.0,3.0
523,3.0,3.0
524,8.0,8.0
525,2.0,2.0
526,9.0,9.0
527,4.0,4.0
528,2.0,2.0
529,0.0,0.0
530,8.0,9.0
531,5.0,5.0
532,2.0,2.0
533,4.0,4.0
534,9.0,9.0
535,8.0,8.0
536,7.0,7.0
537,5.0,5.0
538,4.0,4.0
539,9.0,9.0
540,9.0,9.0
541,3.0,3.0
542,8.0,8.0
543,4.0,4.0
544,4.0,4.0
545,2.0,2.0
546,5.0,5.0
547,8.0,8.0
548,7.0,7.0
549,2.0,2.0
550,6.0,6.0
551,7.0,7.0
552,7.0,7.0
553,1.0,1.0
554,2.0,2.0
555,6.0,6.0
556,3.0,3.0
557,4.0,4.0
558,0.0,0.0
559,8.0,8.0
560,5.0,5.0
561,7.0,7.0
562,5.0,5.0
563,0.0,0.0
564,2.0,2.0
565,9.0,9.0
566,7.0,7.0
567,5.0,5.0
568,3.0,3.0
569,0.0,0.0
570,1.0,1.0
571,6.0,6.0
572,9.0,9.0
573,2.0,2.0
574,8.0,8.0
575,0.0,0.0
576,5.0,5.0
577,0.0,0.0
578,8.0,8.0
579,4.0,4.0
580,3.0,3.0
581,9.0,9.0
582,1.0,1.0
583,0.0,9.0
584,7.0,7.0
585,0.0,0.0
586,5.0,5.0
587,8.0,8.0
588,8.0,8.0
589,5.0,5.0
590,3.0,3.0
591,9.0,9.0
592,0.0,0.0
593,9.0,9.0
594,0.0,0.0
595,6.0,6.0
596,3.0,3.0
597,3.0,3.0
598,1.0,1.0
599,8.0,8.0
600,8.0,8.0
601,4.0,4.0
602,9.0,9.0
603,1.0,1.0
604,9.0,9.0
605,0.0,0.0
606,8.0,8.0
607,5.0,5.0
608,2.0,2.0
609,3.0,3.0
610,4.0,4.0
611,4.0,4.0
612,8.0,8.0
613,1.0,1.0
614,8.0,8.0
615,3.0,3.0
616,9.0,9.0
617,2.0,2.0
618,0.0,0.0
619,5.0,5.0
620,8.0,8.0
621,0.0,0.0
622,6.0,6.0
623,3.0,3.0
624,1.0,1.0
625,6.0,6.0
626,4.0,4.0
627,8.0,8.0
628,4.0,4.0
629,7.0,7.0
630,0.0,0.0
631,2.0,2.0
632,6.0,6.0
633,3.0,3.0
634,9.0,9.0
635,1.0,1.0
636,8.0,8.0
637,3.0,3.0
638,0.0,0.0
639,2.0,2.0
640,4.0,4.0
641,4.0,4.0
642,5.0,5.0
643,1.0,1.0
644,3.0,3.0
645,9.0,9.0
646,7.0,7.0
647,2.0,2.0
648,0.0,0.0
649,2.0,2.0
650,0.0,0.0
651,1.0,1.0
652,7.0,7.0
653,8.0,8.0
654,8.0,8.0
655,8.0,8.0
656,1.0,1.0
657,3.0,3.0
658,2.0,2.0
659,8.0,8.0
660,3.0,3.0
661,0.0,0.0
662,3.0,3.0
663,3.0,3.0
664,5.0,5.0
665,2.0,2.0
666,0.0,0.0
667,1.0,1.0
668,5.0,5.0
669,2.0,2.0
670,6.0,6.0
671,3.0,3.0
672,4.0,4.0
673,6.0,8.0
674,4.0,4.0
675,0.0,3.0
676,2.0,2.0
677,3.0,3.0
678,6.0,6.0
679,6.0,6.0
680,2.0,2.0
681,4.0,4.0
682,4.0,4.0
683,6.0,6.0
684,4.0,4.0
685,0.0,0.0
686,4.0,4.0
687,7.0,7.0
688,6.0,6.0
689,1.0,1.0
690,9.0,9.0
691,9.0,9.0
692,2.0,2.0
693,0.0,0.0
694,2.0,2.0
695,1.0,1.0
696,3.0,0.0
697,9.0,9.0
698,2.0,2.0
699,7.0,7.0
700,1.0,1.0
701,9.0,9.0
702,4.0,4.0
703,9.0,9.0
704,4.0,4.0
705,0.0,0.0
706,3.0,3.0
707,3.0,3.0
708,5.0,5.0
709,7.0,7.0
710,6.0,6.0
711,7.0,7.0
712,6.0,8.0
713,5.0,5.0
714,8.0,8.0
715,4.0,4.0
716,4.0,4.0
717,4.0,4.0
718,3.0,3.0
719,7.0,7.0
720,3.0,3.0
721,1.0,1.0
722,3.0,3.0
723,0.0,3.0
724,0.0,0.0
725,5.0,5.0
726,9.0,9.0
727,0.0,0.0
728,7.0,7.0
729,3.0,3.0
730,5.0,5.0
731,8.0,8.0
732,9.0,9.0
733,8.0,8.0
734,7.0,7.0
735,5.0,5.0
736,4.0,4.0
737,1.0,1.0
738,2.0,2.0
739,1.0,1.0
740,9.0,9.0
741,1.0,1.0
742,0.0,0.0
743,1.0,1.0
744,5.0,5.0
745,1.0,1.0
746,8.0,8.0
747,0.0,0.0
748,5.0,5.0
749,0.0,0.0
750,8.0,8.0
751,8.0,8.0
752,5.0,5.0
753,8.0,8.0
754,4.0,4.0
755,2.0,2.0
756,1.0,1.0
757,5.0,5.0
758,4.0,4.0
759,0.0,0.0
760,6.0,6.0
761,6.0,6.0
762,6.0,6.0
763,8.0,8.0
764,1.0,1.0
765,2.0,2.0
766,6.0,6.0
767,8.0,8.0
768,5.0,5.0
769,6.0,6.0
770,2.0,2.0
771,1.0,1.0
772,4.0,4.0
773,8.0,8.0
774,2.0,2.0
775,8.0,8.0
776,5.0,5.0
777,7.0,7.0
778,6.0,6.0
779,1.0,0.0
780,8.0,8.0
781,4.0,4.0
782,5.0,5.0
783,0.0,0.0
784,9.0,9.0
785,4.0,4.0
786,7.0,7.0
787,2.0,2.0
788,9.0,9.0
789,8.0,8.0
790,5.0,5.0
791,9.0,9.0
792,6.0,6.0
793,1.0,1.0
794,8.0,8.0
795,2.0,2.0
796,2.0,2.0
797,6.0,6.0
798,5.0,5.0
799,3.0,3.0
800,3.0,3.0
801,6.0,6.0
802,7.0,7.0
803,3.0,3.0
804,0.0,0.0
805,3.0,3.0
806,5.0,5.0
807,4.0,4.0
808,2.0,2.0
809,0.0,0.0
810,6.0,6.0
811,4.0,4.0
812,1.0,1.0
813,5.0,5.0
814,0.0,0.0
815,0.0,0.0
816,5.0,5.0
817,6.0,6.0
818,7.0,7.0
819,9.0,9.0
820,9.0,9.0
821,2.0,2.0
822,7.0,7.0
823,5.0,5.0
824,6.0,6.0
825,1.0,1.0
826,5.0,8.0
827,4.0,4.0
828,9.0,9.0
829,8.0,8.0
830,1.0,1.0
831,9.0,9.0
832,7.0,7.0
833,7.0,7.0
834,5.0,5.0
835,6.0,6.0
836,8.0,8.0
837,0.0,0.0
838,0.0,0.0
839,6.0,6.0
840,2.0,2.0
841,3.0,3.0
842,8.0,8.0
843,9.0,9.0
844,5.0,5.0
845,2.0,2.0
846,6.0,6.0
847,6.0,6.0
848,1.0,1.0
849,1.0,1.0
850,2.0,2.0
851,3.0,3.0
852,4.0,4.0
853,5.0,5.0
854,6.0,6.0
855,3.0,3.0
856,0.0,0.0
857,8.0,8.0
858,6.0,6.0
859,0.0,0.0
860,5.0,5.0
861,1.0,1.0
862,6.0,6.0
863,9.0,9.0
864,3.0,3.0
865,4.0,4.0
866,5.0,5.0
867,3.0,3.0
868,1.0,1.0
869,9.0,9.0
870,3.0,3.0
871,4.0,4.0
872,7.0,7.0
873,6.0,6.0
874,7.0,7.0
875,0.0,0.0
876,2.0,2.0
877,9.0,9.0
878,5.0,5.0
879,5.0,5.0
880,7.0,7.0
881,7.0,7.0
882,1.0,1.0
883,1.0,1.0
884,8.0,8.0
885,2.0,2.0
886,0.0,0.0
887,7.0,7.0
888,0.0,0.0
889,8.0,8.0
890,6.0,6.0
891,4.0,4.0
892,2.0,2.0
893,5.0,5.0
894,4.0,4.0
895,2.0,2.0
896,0.0,0.0
897,0.0,0.0
898,6.0,6.0
899,2.0,2.0
900,5.0,5.0
901,1.0,1.0
902,2.0,2.0
903,0.0,0.0
904,0.0,0.0
905,4.0,4.0
906,6.0,6.0
907,1.0,1.0
908,6.0,6.0
909,4.0,4.0
910,0.0,0.0
911,6.0,6.0
912,3.0,3.0
913,0.0,0.0
914,4.0,4.0
915,0.0,0.0
916,6.0,6.0
917,2.0,2.0
918,1.0,1.0
919,9.0,9.0
920,7.0,7.0
921,4.0,4.0
922,8.0,8.0
923,1.0,1.0
924,4.0,4.0
925,1.0,1.0
926,0.0,0.0
927,2.0,2.0
928,4.0,4.0
929,7.0,7.0
930,8.0,8.0
931,5.0,5.0
932,1.0,1.0
933,0.0,0.0
934,0.0,0.0
935,3.0,3.0
936,2.0,2.0
937,7.0,7.0
938,9.0,9.0
939,2.0,2.0
940,8.0,8.0
941,0.0,0.0
942,1.0,1.0
943,5.0,5.0
944,5.0,5.0
945,5.0,5.0
946,2.0,2.0
947,2.0,2.0
948,5.0,5.0
949,6.0,6.0
950,4.0,4.0
951,6.0,6.0
952,2.0,2.0
953,3.0,3.0
954,5.0,5.0
955,5.0,5.0
956,2.0,2.0
957,7.0,7.0
958,9.0,9.0
959,3.0,3.0
960,1.0,1.0
961,7.0,7.0
962,2.0,2.0
963,3.0,3.0
964,3.0,3.0
965,0.0,0.0
966,5.0,5.0
967,9.0,9.0
968,3.0,3.0
969,2.0,2.0
970,2.0,2.0
971,1.0,1.0
972,7.0,7.0
973,2.0,2.0
974,8.0,8.0
975,5.0,5.0
976,7.0,7.0
977,3.0,3.0
978,4.0,4.0
979,9.0,9.0
980,8.0,8.0
981,5.0,5.0
982,1.0,1.0
983,2.0,2.0
984,0.0,0.0
985,8.0,8.0
986,0.0,0.0
987,6.0,6.0
988,2.0,2.0
989,4.0,4.0
990,3.0,3.0
991,2.0,2.0
992,3.0,3.0
993,4.0,4.0
994,5.0,5.0
995,0.0,0.0
996,3.0,3.0
997,0.0,0.0
998,4.0,4.0
999,0.0,0.0
1000,9.0,9.0
1001,3.0,3.0
1002,1.0,1.0
1003,6.0,6.0
1004,4.0,4.0
1005,4.0,3.0
1006,3.0,3.0
1007,6.0,6.0
1008,9.0,9.0
1009,1.0,1.0
1010,7.0,7.0
1011,1.0,1.0
1012,5.0,5.0
1013,8.0,8.0
1014,2.0,2.0
1015,3.0,3.0
1016,0.0,0.0
1017,2.0,2.0
1018,5.0,5.0
1019,5.0,5.0
1020,2.0,2.0
1021,4.0,4.0
1022,4.0,4.0
1023,4.0,4.0
1024,0.0,0.0
1025,5.0,5.0
1026,8.0,8.0
1027,9.0,9.0
1028,6.0,6.0
1029,9.0,9.0
1030,8.0,8.0
1031,1.0,1.0
1032,4.0,4.0
1033,0.0,0.0
1034,8.0,8.0
1035,1.0,1.0
1036,9.0,9.0
1037,6.0,6.0
1038,4.0,4.0
1039,8.0,8.0
1040,7.0,7.0
1041,3.0,3.0
1042,6.0,6.0
1043,5.0,5.0
1044,9.0,9.0
1045,4.0,4.0
1046,4.0,4.0
1047,5.0,5.0
1048,9.0,9.0
1049,3.0,3.0
1050,8.0,8.0
1051,5.0,5.0
1052,4.0,4.0
1053,8.0,8.0
1054,0.0,0.0
1055,2.0,2.0
1056,5.0,5.0
1057,6.0,6.0
1058,6.0,6.0
1059,9.0,9.0
1060,7.0,7.0
1061,9.0,9.0
1062,5.0,5.0
1063,3.0,3.0
1064,9.0,9.0
1065,6.0,6.0
1066,2.0,2.0
1067,2.0,2.0
1068,0.0,0.0
1069,4.0,4.0
1070,7.0,7.0
1071,4.0,4.0
1072,7.0,7.0
1073,0.0,0.0
1074,3.0,3.0
1075,2.0,2.0
1076,6.0,6.0
1077,4.0,4.0
1078,4.0,4.0
1079,7.0,7.0
1080,9.0,9.0
1081,8.0,8.0
1082,8.0,8.0
1083,5.0,5.0
1084,4.0,4.0
1085,6.0,6.0
1086,2.0,2.0
1087,3.0,3.0
1088,7.0,7.0
1089,5.0,5.0
1090,7.0,7.0
1091,0.0,0.0
1092,5.0,5.0
1093,6.0,6.0
1094,5.0,5.0
1095,8.0,8.0
1096,4.0,4.0
1097,9.0,9.0
1098,9.0,9.0
1099,2.0,2.0
1100,7.0,7.0
1101,1.0,1.0
1102,6.0,6.0
1103,3.0,3.0
1104,7.0,7.0
1105,0.0,0.0
1106,0.0,0.0
1107,4.0,4.0
1108,9.0,9.0
1109,3.0,3.0
1110,0.0,0.0
1111,5.0,5.0
1112,7.0,7.0
1113,6.0,6.0
1114,3.0,4.0
1115,0.0,0.0
1116,9.0,9.0
1117,8.0,8.0
1118,8.0,8.0
1119,3.0,3.0
1120,6.0,6.0
1121,4.0,4.0
1122,4.0,4.0
1123,4.0,4.0
1124,7.0,7.0
1125,4.0,4.0
1126,5.0,5.0
1127,2.0,2.0
1128,9.0,9.0
1129,2.0,2.0
1130,9.0,9.0
1131,1.0,1.0
1132,1.0,8.0
1133,7.0,7.0
1134,6.0,6.0
1135,6.0,6.0
1136,9.0,9.0
1137,0.0,0.0
1138,5.0,5.0
1139,3.0,3.0
1140,3.0,3.0
1141,6.0,6.0
1142,3.0,3.0
1143,8.0,8.0
1144,4.0,4.0
1145,8.0,8.0
1146,0.0,0.0
1147,2.0,2.0
1148,9.0,9.0
1149,6.0,6.0
1150,4.0,4.0
1151,0.0,0.0
1152,2.0,2.0
1153,6.0,2.0
1154,2.0,2.0
1155,4.0,4.0
1156,2.0,2.0
1157,1.0,1.0
1158,1.0,1.0
1159,0.0,0.0
1160,2.0,2.0
1161,4.0,4.0
1162,7.0,7.0
1163,1.0,1.0
1164,6.0,6.0
1165,7.0,7.0
1166,1.0,1.0
1167,0.0,0.0
1168,8.0,8.0
1169,1.0,1.0
1170,9.0,9.0
1171,9.0,9.0
1172,6.0,6.0
1173,6.0,6.0
1174,6.0,6.0
1175,3.0,3.0
1176,1.0,1.0
1177,1.0,1.0
1178,7.0,7.0
1179,1.0,1.0
1180,7.0,7.0
1181,3.0,3.0
1182,8.0,8.0
1183,3.0,3.0
1184,2.0,2.0
1185,4.0,4.0
1186,6.0,6.0
1187,6.0,6.0
1188,9.0,9.0
1189,7.0,7.0
1190,1.0,1.0
1191,3.0,3.0
1192,2.0,2.0
1193,7.0,7.0
1194,8.0,8.0
1195,6.0,6.0
1196,3.0,3.0
1197,1.0,1.0
1198,4.0,4.0
1199,3.0,3.0
1200,2.0,2.0
1201,2.0,2.0
1202,3.0,3.0
1203,1.0,1.0
1204,9.0,9.0
1205,1.0,1.0
1206,2.0,2.0
1207,4.0,4.0
1208,3.0,3.0
1209,0.0,0.0
1210,4.0,4.0
1211,3.0,3.0
1212,4.0,4.0
1213,7.0,7.0
1214,4.0,4.0
1215,6.0,6.0
1216,3.0,3.0
1217,0.0,0.0
1218,7.0,7.0
1219,3.0,3.0
1220,6.0,6.0
1221,5.0,5.0
1222,6.0,6.0
1223,2.0,2.0
1224,1.0,1.0
1225,3.0,3.0
1226,5.0,5.0
1227,1.0,1.0
1228,0.0,0.0
1229,1.0,1.0
1230,7.0,7.0
1231,2.0,2.0
1232,6.0,6.0
1233,3.0,3.0
1234,5.0,5.0
1235,0.0,0.0
1236,7.0,7.0
1237,5.0,5.0
1238,8.0,8.0
1239,6.0,6.0
1240,5.0,5.0
1241,4.0,4.0
1242,9.0,9.0
1243,4.0,4.0
1244,1.0,1.0
1245,1.0,1.0
1246,3.0,3.0
1247,7.0,7.0
1248,6.0,6.0
1249,3.0,3.0
1250,4.0,4.0
1251,3.0,3.0
1252,1.0,6.0
1253,3.0,3.0
1254,6.0,6.0
1255,5.0,5.0
1256,9.0,9.0
1257,9.0,9.0
1258,3.0,3.0
1259,3.0,3.0
1260,4.0,4.0
1261,9.0,9.0
1262,8.0,8.0
1263,9.0,9.0
1264,8.0,8.0
1265,8.0,8.0
1266,6.0,6.0
1267,1.0,1.0
1268,3.0,3.0
1269,7.0,7.0
1270,6.0,6.0
1271,5.0,5.0
1272,4.0,4.0
1273,0.0,0.0
1274,6.0,6.0
1275,3.0,3.0
1276,3.0,3.0
1277,0.0,0.0
1278,4.0,4.0
1279,9.0,9.0
1280,2.0,2.0
1281,3.0,3.0
1282,6.0,6.0
1283,8.0,8.0
1284,6.0,7.0
1285,2.0,2.0
1286,1.0,1.0
1287,1.0,1.0
1288,7.0,7.0
1289,0.0,0.0
1290,5.0,5.0
1291,9.0,9.0
1292,8.0,8.0
1293,2.0,2.0
1294,5.0,5.0
1295,4.0,4.0
1296,9.0,9.0
1297,6.0,6.0
1298,1.0,1.0
1299,9.0,9.0
1300,3.0,3.0
1301,3.0,3.0
1302,8.0,8.0
1303,7.0,7.0
1304,1.0,1.0
1305,6.0,6.0
1306,2.0,2.0
1307,8.0,8.0
1308,5.0,5.0
1309,2.0,2.0
1310,4.0,4.0
1311,7.0,7.0
1312,9.0,9.0
1313,4.0,4.0
1314,9.0,8.0
1315,6.0,6.0
1316,6.0,6.0
1317,9.0,9.0
1318,6.0,6.0
1319,8.0,8.0
1320,0.0,0.0
1321,3.0,3.0
1322,1.0,1.0
1323,1.0,1.0
1324,8.0,8.0
1325,2.0,2.0
1326,6.0,6.0
1327,9.0,9.0
1328,8.0,8.0
1329,6.0,6.0
1330,2.0,2.0
1331,7.0,7.0
1332,5.0,5.0
1333,7.0,7.0
1334,6.0,6.0
1335,4.0,4.0
1336,6.0,6.0
1337,7.0,7.0
1338,3.0,3.0
1339,9.0,9.0
1340,2.0,2.0
1341,1.0,1.0
1342,1.0,1.0
1343,6.0,6.0
1344,7.0,7.0
1345,0.0,0.0
1346,4.0,4.0
1347,0.0,0.0
1348,5.0,5.0
1349,5.0,5.0
1350,5.0,5.0
1351,8.0,8.0
1352,3.0,3.0
1353,1.0,1.0
1354,0.0,0.0
1355,9.0,9.0
1356,4.0,4.0
1357,0.0,0.0
1358,1.0,1.0
1359,2.0,2.0
1360,0.0,0.0
